03-09 20:21:39.714 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099398, 1489062099660, 1489062099724
03-09 20:21:39.734 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099427, 1489062099706, 1489062099745
03-09 20:21:39.744 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 619, 1489062099754
03-09 20:21:39.744 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 619, 1489062099754
03-09 20:21:39.754 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099447, 1489062099723, 1489062099771
03-09 20:21:39.784 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 658, 1489062099796
03-09 20:21:39.784 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 658, 1489062099797
03-09 20:21:39.794 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 680, 1489062099811
03-09 20:21:39.804 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 680, 1489062099812
03-09 20:21:39.804 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099501, 1489062099755, 1489062099819
03-09 20:21:39.834 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099537, 1489062099797, 1489062099849
03-09 20:21:39.884 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 719, 1489062099900
03-09 20:21:39.884 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 719, 1489062099900
03-09 20:21:39.904 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099572, 1489062099822, 1489062099918
03-09 20:21:39.924 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 758, 1489062099937
03-09 20:21:39.924 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 758, 1489062099938
03-09 20:21:39.924 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 799, 1489062099939
03-09 20:21:39.934 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 799, 1489062099951
03-09 20:21:39.944 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099594, 1489062099901, 1489062099956
03-09 20:21:39.964 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 819, 1489062099979
03-09 20:21:39.964 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 819, 1489062099979
03-09 20:21:39.974 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099639, 1489062099939, 1489062099984
03-09 20:21:39.984 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 858, 1489062099999
03-09 20:21:39.994 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 858, 1489062100004
03-09 20:21:39.994 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099659, 1489062099962, 1489062100009
03-09 20:21:40.014 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099706, 1489062099980, 1489062100027
03-09 20:21:40.014 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 898, 1489062100031
03-09 20:21:40.024 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 898, 1489062100032
03-09 20:21:40.034 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 922, 1489062100049
03-09 20:21:40.034 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 922, 1489062100049
03-09 20:21:40.044 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099722, 1489062100005, 1489062100052
03-09 20:21:40.054 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099754, 1489062100032, 1489062100069
03-09 20:21:40.084 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 958, 1489062100101
03-09 20:21:40.084 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 958, 1489062100101
03-09 20:21:40.104 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099797, 1489062100049, 1489062100114
03-09 20:21:40.114 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 998, 1489062100123
03-09 20:21:40.114 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 998, 1489062100123
03-09 20:21:40.134 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099812, 1489062100102, 1489062100143
03-09 20:21:40.144 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1020, 1489062100154
03-09 20:21:40.144 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1020, 1489062100154
03-09 20:21:40.154 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099900, 1489062100123, 1489062100171
03-09 20:21:40.174 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1059, 1489062100190
03-09 20:21:40.174 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1059, 1489062100190
03-09 20:21:40.194 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099938, 1489062100155, 1489062100210
03-09 20:21:40.214 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1096, 1489062100228
03-09 20:21:40.214 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1096, 1489062100228
03-09 20:21:40.224 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099951, 1489062100191, 1489062100241
03-09 20:21:40.234 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1120, 1489062100243
03-09 20:21:40.234 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1120, 1489062100244
03-09 20:21:40.264 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099979, 1489062100228, 1489062100276
03-09 20:21:40.274 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1156, 1489062100288
03-09 20:21:40.274 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1156, 1489062100288
03-09 20:21:40.294 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100004, 1489062100245, 1489062100303
03-09 20:21:40.304 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1195, 1489062100316
03-09 20:21:40.304 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1195, 1489062100316
03-09 20:21:40.324 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1218, 1489062100334
03-09 20:21:40.324 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1218, 1489062100335
03-09 20:21:40.334 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100032, 1489062100288, 1489062100343
03-09 20:21:40.364 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100049, 1489062100317, 1489062100369
03-09 20:21:40.364 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1255, 1489062100376
