03-09 20:16:55.014 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814842, 1489061814975, 1489061815023
03-09 20:16:55.024 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 599, 1489061815039
03-09 20:16:55.024 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814869, 1489061814984, 1489061815039
03-09 20:16:55.034 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 617, 1489061815049
03-09 20:16:55.054 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 617, 1489061815068
03-09 20:16:55.074 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814901, 1489061815013, 1489061815069
03-09 20:16:55.084 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 658, 1489061815099
03-09 20:16:55.084 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 658, 1489061815100
03-09 20:16:55.084 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 697, 1489061815103
03-09 20:16:55.094 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814923, 1489061815023, 1489061815111
03-09 20:16:55.114 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 697, 1489061815123
03-09 20:16:55.124 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 721, 1489061815134
03-09 20:16:55.124 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 721, 1489061815136
03-09 20:16:55.124 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814938, 1489061815039, 1489061815138
03-09 20:16:55.154 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 757, 1489061815167
03-09 20:16:55.154 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 757, 1489061815167
03-09 20:16:55.154 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814954, 1489061815068, 1489061815169
03-09 20:16:55.184 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814984, 1489061815101, 1489061815195
03-09 20:16:55.194 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815012, 1489061815125, 1489061815208
03-09 20:16:55.204 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 798, 1489061815214
03-09 20:16:55.204 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 798, 1489061815214
03-09 20:16:55.214 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 820, 1489061815229
03-09 20:16:55.214 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 820, 1489061815232
03-09 20:16:55.224 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815022, 1489061815137, 1489061815234
03-09 20:16:55.244 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815039, 1489061815167, 1489061815253
03-09 20:16:55.254 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815068, 1489061815214, 1489061815268
03-09 20:16:55.324 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 858, 1489061815339
03-09 20:16:55.324 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 858, 1489061815339
03-09 20:16:55.324 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 898, 1489061815342
03-09 20:16:55.334 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815100, 1489061815232, 1489061815352
03-09 20:16:55.344 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 898, 1489061815357
03-09 20:16:55.354 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815123, 1489061815340, 1489061815366
03-09 20:16:55.364 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 919, 1489061815375
03-09 20:16:55.364 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 958, 1489061815377
03-09 20:16:55.364 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 919, 1489061815380
03-09 20:16:55.374 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 958, 1489061815387
03-09 20:16:55.384 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815136, 1489061815357, 1489061815398
03-09 20:16:55.404 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815167, 1489061815381, 1489061815413
03-09 20:16:55.404 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 997, 1489061815417
03-09 20:16:55.404 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 997, 1489061815417
03-09 20:16:55.424 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1018, 1489061815437
03-09 20:16:55.424 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1018, 1489061815438
03-09 20:16:55.444 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815214, 1489061815388, 1489061815453
03-09 20:16:55.454 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815232, 1489061815417, 1489061815468
03-09 20:16:55.494 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1058, 1489061815506
03-09 20:16:55.494 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1058, 1489061815506
03-09 20:16:55.504 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1098, 1489061815513
03-09 20:16:55.504 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1098, 1489061815513
03-09 20:16:55.504 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815339, 1489061815438, 1489061815522
03-09 20:16:55.514 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1118, 1489061815527
03-09 20:16:55.514 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1118, 1489061815527
03-09 20:16:55.524 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815357, 1489061815506, 1489061815536
03-09 20:16:55.534 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815380, 1489061815514, 1489061815550
03-09 20:16:55.574 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1157, 1489061815587
03-09 20:16:55.574 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1157, 1489061815587
03-09 20:16:55.594 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815387, 1489061815528, 1489061815604
03-09 20:16:55.594 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1179, 1489061815611
03-09 20:16:55.594 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1179, 1489061815612
03-09 20:16:55.604 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815417, 1489061815587, 1489061815619
03-09 20:16:55.674 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1217, 1489061815686
03-09 20:16:55.674 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1257, 1489061815686
03-09 20:16:55.674 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1217, 1489061815687
03-09 20:16:55.684 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1257, 1489061815696
03-09 20:16:55.684 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815438, 1489061815612, 1489061815699
03-09 20:16:55.694 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1281, 1489061815705
03-09 20:16:55.694 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1281, 1489061815710
03-09 20:16:55.704 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1317, 1489061815720
03-09 20:16:55.704 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1317, 1489061815721
03-09 20:16:55.704 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815506, 1489061815687, 1489061815722
03-09 20:16:55.724 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815513, 1489061815696, 1489061815739
03-09 20:16:55.744 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815527, 1489061815710, 1489061815757
03-09 20:16:55.754 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1359, 1489061815767
03-09 20:16:55.754 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1359, 1489061815768
03-09 20:16:55.764 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815587, 1489061815721, 1489061815781
03-09 20:16:55.814 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1414, 1489061815824
03-09 20:16:55.814 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1414, 1489061815824
03-09 20:16:55.814 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815612, 1489061815768, 1489061815832
03-09 20:16:55.834 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1454, 1489061815845
03-09 20:16:55.834 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1454, 1489061815845
03-09 20:16:55.854 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815687, 1489061815824, 1489061815868
03-09 20:16:55.854 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1477, 1489061815872
03-09 20:16:55.854 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1477, 1489061815873
03-09 20:16:55.884 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815696, 1489061815845, 1489061815893
03-09 20:16:55.904 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1514, 1489061815916
03-09 20:16:55.904 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1514, 1489061815917
03-09 20:16:55.934 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815710, 1489061815873, 1489061815948
03-09 20:16:55.944 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1554, 1489061815959
03-09 20:16:55.944 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1554, 1489061815961
03-09 20:16:55.964 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815721, 1489061815917, 1489061815976
03-09 20:16:55.964 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1577, 1489061815981
03-09 20:16:55.974 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1577, 1489061815984
03-09 20:16:55.984 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815768, 1489061815962, 1489061816001
03-09 20:16:56.004 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1614, 1489061816018
03-09 20:16:56.004 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1614, 1489061816019
03-09 20:16:56.044 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815824, 1489061815987, 1489061816056
03-09 20:16:56.044 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1654, 1489061816061
03-09 20:16:56.044 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1654, 1489061816061
03-09 20:16:56.054 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815845, 1489061816019, 1489061816071
03-09 20:16:56.064 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1677, 1489061816078
03-09 20:16:56.064 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1677, 1489061816078
03-09 20:16:56.094 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815873, 1489061816061, 1489061816107
03-09 20:16:56.104 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1714, 1489061816114
03-09 20:16:56.104 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1714, 1489061816115
03-09 20:16:56.114 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815917, 1489061816092, 1489061816132
03-09 20:16:56.134 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1754, 1489061816145
03-09 20:16:56.134 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1754, 1489061816146
03-09 20:16:56.144 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815961, 1489061816115, 1489061816161
03-09 20:16:56.154 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1777, 1489061816171
03-09 20:16:56.154 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1777, 1489061816171
03-09 20:16:56.184 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061815984, 1489061816146, 1489061816193
03-09 20:16:56.204 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1814, 1489061816215
