03-09 20:24:00.434 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 649, 1489062240448
03-09 20:24:00.444 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 553, 1489062240454
03-09 20:24:00.444 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240369, 1489062240403, 1489062240454
03-09 20:24:00.454 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 593, 1489062240463
03-09 20:24:00.454 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240377, 1489062240414, 1489062240466
03-09 20:24:00.454 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 629, 1489062240471
03-09 20:24:00.464 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240385, 1489062240421, 1489062240476
03-09 20:24:00.474 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 649, 1489062240486
03-09 20:24:00.474 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240395, 1489062240432, 1489062240488
03-09 20:24:00.484 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 689, 1489062240492
03-09 20:24:00.484 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 689, 1489062240497
03-09 20:24:00.484 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240403, 1489062240454, 1489062240499
03-09 20:24:00.504 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240463, 1489062240505, 1489062240513
03-09 20:24:00.514 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240486, 1489062240522, 1489062240526
03-09 20:24:00.524 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 732, 1489062240533
03-09 20:24:00.524 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 732, 1489062240534
03-09 20:24:00.524 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240497, 1489062240536, 1489062240537
