03-09 20:13:25.744 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605686, 1489061605717, 1489061605760
03-09 20:13:25.754 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605692, 1489061605729, 1489061605770
03-09 20:13:25.764 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605700, 1489061605735, 1489061605781
03-09 20:13:25.774 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605710, 1489061605744, 1489061605792
03-09 20:13:25.784 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 596, 1489061605793
03-09 20:13:25.784 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 596, 1489061605794
03-09 20:13:25.794 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605758, 1489061605784, 1489061605804
03-09 20:13:25.804 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605794, 1489061605807, 1489061605815
03-09 20:13:25.814 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 618, 1489061605825
03-09 20:13:25.814 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 618, 1489061605826
03-09 20:13:25.834 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605826, 1489061605838, 1489061605847
03-09 20:13:25.854 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 657, 1489061605869
03-09 20:13:25.854 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 657, 1489061605869
03-09 20:13:25.874 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605869, 1489061605882, 1489061605888
03-09 20:13:25.884 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 697, 1489061605896
03-09 20:13:25.884 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 697, 1489061605897
03-09 20:13:25.884 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 717, 1489061605899
03-09 20:13:25.884 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 717, 1489061605899
03-09 20:13:25.904 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605899, 1489061605918, 1489061605920
03-09 20:13:25.904 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 756, 1489061605923
03-09 20:13:25.914 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 756, 1489061605923
03-09 20:13:25.924 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 797, 1489061605938
03-09 20:13:25.924 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 797, 1489061605938
03-09 20:13:25.924 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605923, 1489061605936, 1489061605942
03-09 20:13:25.934 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 816, 1489061605949
03-09 20:13:25.934 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 816, 1489061605949
03-09 20:13:25.944 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605938, 1489061605952, 1489061605954
03-09 20:13:25.954 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605949, 1489061605963, 1489061605965
03-09 20:13:25.954 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 856, 1489061605965
03-09 20:13:25.954 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 856, 1489061605965
03-09 20:13:25.974 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605965, 1489061605979, 1489061605985
03-09 20:13:26.004 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 897, 1489061606016
03-09 20:13:26.004 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 897, 1489061606016
03-09 20:13:26.004 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 917, 1489061606018
03-09 20:13:26.004 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 917, 1489061606020
03-09 20:13:26.024 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606016, 1489061606030, 1489061606037
03-09 20:13:26.034 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606020, 1489061606037, 1489061606047
03-09 20:13:26.084 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 956, 1489061606100
